model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.16238310465429207,r2,1.1107149124145508,157.54022526741028,0.0010218620300292969,0.2880852222442627,2,True,16
RandomForestMSE_BAG_L1,0.13745494575971295,r2,0.3037865161895752,3.645859718322754,0.3037865161895752,3.645859718322754,1,True,5
ExtraTreesMSE_BAG_L1,0.13582565019044834,r2,0.32230424880981445,2.1120591163635254,0.32230424880981445,2.1120591163635254,1,True,7
XGBoost_BAG_L1,0.08408865586786063,r2,0.05695486068725586,13.447495222091675,0.05695486068725586,13.447495222091675,1,True,9
CatBoost_r177_BAG_L1,0.08342288818952825,r2,0.0719461441040039,18.63602590560913,0.0719461441040039,18.63602590560913,1,True,12
CatBoost_BAG_L1,0.08182011066528339,r2,0.09044718742370605,22.762134313583374,0.09044718742370605,22.762134313583374,1,True,6
LightGBMLarge_BAG_L1,0.07968457688703512,r2,0.0613093376159668,17.03321409225464,0.0613093376159668,17.03321409225464,1,True,11
LightGBM_r131_BAG_L1,0.07649068516343349,r2,0.1198720932006836,16.07228446006775,0.1198720932006836,16.07228446006775,1,True,14
LightGBM_BAG_L1,0.06899206518203449,r2,0.09660887718200684,14.93554973602295,0.09660887718200684,14.93554973602295,1,True,4
LightGBMXT_BAG_L1,0.05847237466879285,r2,0.8582806587219238,20.91152000427246,0.8582806587219238,20.91152000427246,1,True,3
NeuralNetFastAI_BAG_L1,0.02851622037164525,r2,0.17513251304626465,50.99078965187073,0.17513251304626465,50.99078965187073,1,True,8
NeuralNetTorch_r79_BAG_L1,0.014329338237306755,r2,0.12241744995117188,112.4601993560791,0.12241744995117188,112.4601993560791,1,True,13
NeuralNetTorch_BAG_L1,0.013780526240354085,r2,0.1432945728302002,81.40404939651489,0.1432945728302002,81.40404939651489,1,True,10
NeuralNetFastAI_r191_BAG_L1,-0.003610003592399158,r2,0.36118483543395996,39.034021854400635,0.36118483543395996,39.034021854400635,1,True,15
KNeighborsDist_BAG_L1,-0.03795340357976329,r2,0.027330398559570312,0.008443117141723633,0.027330398559570312,0.008443117141723633,1,True,2
KNeighborsUnif_BAG_L1,-0.09105208854296021,r2,0.029958486557006836,0.012169122695922852,0.029958486557006836,0.012169122695922852,1,True,1
