,molecular_weight,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,log_p
count,5354.0,5354.0,5354.0,5354.0,5354.0,5354.0
mean,258.58029955798577,0.7284273440418378,1.9538662682106835,2.4152035861038477,38.14886066492342,1.5778473888681375
std,308.6941636055036,1.9872155074970719,3.5523783475057096,6.17927576558346,68.96483582870252,6.022071995708518
min,2.016,0.0,0.0,0.0,0.0,-21.55600000000005
25%,87.62,0.0,0.0,0.0,0.0,-0.5817999999999999
50%,158.97,0.0,1.0,0.0,26.02,0.2385999999999999
75%,287.325,1.0,2.0,2.0,51.21,1.99502
max,4514.0,62.0,88.0,150.0,1827.0699999999988,41.40619999999994
skewness,3.957715444418346,12.42192514793318,6.677468097532329,6.983180596517339,10.263268014588817,2.1836668632703953
kurtosis,28.764452162810272,269.84350467974417,96.28573673265056,97.59680981188549,188.68331490583856,6.467293018685005
